Temp,Vis
873.7525277,7.501721421
881.6706564,7.198772574
888.3060975,6.933055551
898.1729245,6.658733067
905.2030387,6.473771444
914.3709655,6.276856856
921.2366326,6.011017914
930.65123,5.800930361
938.6269152,5.61930315
947.0137181,5.457313696
955.1538504,5.221659828
964.181997,5.040535801
972.2357946,4.89350847
980.610264,4.710106835
988.5601074,4.48400188
995.8545117,4.374240973
1004.076867,4.246690408
1012.052553,4.156486319
1020.496912,4.067642944
1028.045035,3.973268678
1037.212961,3.79370841
1044.941976,3.722172295
1052.201141,3.571970881
1061.551135,3.430816416
1070.595726,3.332461217
