Temp,K
751.827085,1.099544114
762.3208494,1.099544114
774.5071565,1.099544114
786.6934635,1.099544114
798.8797706,1.099544114
811.0660776,1.099544114
823.2523847,1.099544114
835.4386917,1.099479355
847.6249988,1.099479355
859.8113059,1.099479355
868.9510362,1.099544114
883.8454114,1.099544114
896.0317185,1.099544114
908.2180256,1.099544114
920.4043326,1.099544114
932.9291482,1.099090802
944.7769467,1.100191703
956.9632538,1.099544114
967.7955267,1.099544114
981.3358679,1.099544114
993.522175,1.099544114
1005.708482,1.099544114
1017.894789,1.099544114
1030.081096,1.099544114
1042.267403,1.099544114
1054.45371,1.099544114
1066.640017,1.099544114
1079.164833,1.099544114
1091.012631,1.099544114
1103.198938,1.099544114
1115.385246,1.099544114
1127.571553,1.099544114
1139.75786,1.099544114
1151.944167,1.099544114
1164.130474,1.099544114
1177.670815,1.099544114
1188.503088,1.099544114
1198.996852,1.099544114
