Temp,Vis
776.8599789,8.10761011
784.2208546,7.716844148
794.6810464,7.284110854
802.4293366,6.959207688
811.8379747,6.512942404
821.8000621,6.078181403
829.7205365,5.735423307
839.5242759,5.342548417
848.9190778,4.927562426
857.0547825,4.666939643
867.3427901,4.29307089
875.2632645,4.004676778
883.3989692,3.811077275
891.2026043,3.628626107
900.8326221,3.447830222
909.3557414,3.300941894
918.4815054,3.151456342
926.0145653,3.059391782
934.925099,2.948418734
943.1382867,2.836863682
952.4556056,2.726858665
960.2361804,2.642281474
969.0175759,2.557853526
977.7989715,2.438852424
986.3220907,2.33426034
995.1895784,2.299058155
1002.722638,2.251784233
1014.635634,2.10031339
1023.643022,2.043684102
1031.778727,2.018382243
1039.871385,1.910895972
1049.134897,1.874370142
1058.219767,1.861984886
1065.871203,1.84314337
1073.87777,1.800550372
1084.122731,1.744735723
1093.765048,1.680201744
1101.319631,1.646458456
1110.257837,1.553579126
1119.002336,1.580976087
1127.857525,1.604817501
1133.668743,1.583639076
1144.903764,1.558606975
1158.075857,1.510839168
1164.661904,1.492427156
1177.136651,1.414292508
1185.775994,1.318803863
1193.717992,1.404725376
1202.241111,1.389458228
1217.221139,1.356082093
1224.711153,1.336140468
1230.134956,1.342343241
1242.273944,1.296112294
1254.929484,1.285345714
1261.128117,1.252107388
1269.651236,1.249026291
