Temp,Vis
775.3103209,12.11111054
785.7705126,11.43703724
795.8432899,10.75647857
805.9160672,10.07266634
815.9888444,9.385600551
826.4490362,8.68363962
836.909228,8.00817194
847.7568343,7.347091133
858.9918551,6.707369106
871.0017049,6.120009113
884.1737982,5.575112545
898.6188249,5.076507742
907.547807,4.81183235
914.1596813,4.634453345
928.7264669,4.276612287
957.9116933,3.726207981
963.7487386,3.632178002
973.9764817,3.452658451
978.7029387,3.334614466
991.875032,3.099619228
1009.087305,2.853242233
1025.580094,2.652641328
1039.914431,2.49176198
1058.768604,2.301997709
1072.844665,2.161955619
1093.377634,1.987714222
1108.4868,1.865400275
1125.016485,1.751682773
1142.966691,1.646561714
1177.059168,1.449435274
1209.214572,1.298558885
1226.648225,1.241678614
1242.144806,1.172484364
1261.128117,1.103094466
