Temp,Vis
774.9229064,8.066960604
783.8334401,7.707174934
793.1313883,7.31343757
802.0419221,6.923440297
811.3398703,6.522731025
819.0881605,6.193686968
834.6622238,5.548608735
842.0747548,5.248865533
849.9521832,4.94258913
857.8296115,4.675355415
867.9023888,4.342927368
878.7499951,4.011269233
888.3492657,3.765538907
899.6703786,3.548090213
910.9053994,3.320291775
921.5808215,3.135376152
932.600612,2.972802957
944.02934,2.821684642
954.6278941,2.691761033
961.5275621,2.610034945
969.2389557,2.523615371
979.8651822,2.388848606
991.6598017,2.271058722
1001.657248,2.176686842
1009.773582,2.095217841
1016.282146,2.034336466
1026.742338,1.96152055
1037.116438,1.87591214
1048.14699,1.795852168
1056.831532,1.716466095
1062.993267,1.692880652
1073.232079,1.609805213
1084.381008,1.547904293
1096.864364,1.462301473
1108.4868,1.397507755
1120.496649,1.346868512
1131.645578,1.306657974
1144.128935,1.236548283
1156.138784,1.189511193
1168.234726,1.150603165
1178.910148,1.120360622
1190.175916,1.078723324
1197.785844,1.062725719
1204.178184,1.013021412
1215.02579,0.978792637
1227.03564,0.94744234
1239.045489,0.916440639
1250.667925,0.879185959
1262.763867,0.866216013
1271.45917,0.871512202
