Temp,Vis
775.6977354,6.79152268
784.3499928,6.52099193
793.7125101,6.229273203
802.2356293,5.955496142
810.7587485,5.676838745
818.700746,5.425869193
827.2238652,5.139077903
836.134399,4.870159439
844.7866564,4.617523253
852.9869301,4.381180216
862.8660002,4.121968077
872.1639484,3.913218684
881.4618966,3.710976405
890.7598449,3.534762584
899.5412404,3.423648894
910.5179849,3.265235437
921.236453,3.119850702
928.3390524,2.97629564
940.8137996,2.840898383
948.5620898,2.758473966
956.8416913,2.669326705
967.1235494,2.541396239
977.5406952,2.414387771
985.030709,2.335417321
993.0372756,2.262576406
1002.625785,2.174192327
1013.763952,2.061319615
1023.698367,1.999060783
1032.295279,1.945591887
1040.108139,1.886589459
1049.444828,1.827501526
1060.318262,1.732538233
1070.520178,1.693573805
1077.881053,1.620931799
1087.179002,1.610649399
1096.670657,1.536911762
1106.678865,1.47615937
1117.526471,1.457113862
1126.152901,1.417153319
1135.089263,1.360690695
1144.645487,1.360154474
1153.89178,1.29066023
1164.080782,1.264710756
1175.122095,1.247823417
1184.226336,1.200135978
1194.647787,1.128298303
1205.598703,1.122478131
1216.188033,1.084142676
1225.873396,1.095312015
1236.075312,1.068711104
1245.437829,1.025889508
1256.479142,1.011605015
1267.520456,0.985607716
