Temp,Vis
776.8599789,9.747757904
785.3830981,9.375782569
793.9062174,8.984877446
802.4293366,8.572676312
810.9524558,8.164024514
819.475575,7.773119391
827.9986942,7.369791595
836.5218135,6.978886473
845.0449327,6.616376031
853.5680519,6.260964261
862.0911711,5.930397837
870.6142904,5.635324764
879.1374096,5.366871706
887.6605288,5.117939991
896.183648,4.949578185
904.7067673,4.738624357
913.2298865,4.592014905
921.7530057,4.399061277
929.5012959,4.242948718
939.4965903,4.010300775
948.0971924,3.882929443
956.6203116,3.731604446
965.1434308,3.612223465
973.6665501,3.459123801
982.1896693,3.346841491
990.7127885,3.195871428
999.2359077,3.119437403
1007.759027,2.961385571
1016.282146,2.923977332
1024.805265,2.815776758
1033.328385,2.74322165
1041.851504,2.610733482
1050.374623,2.586119751
1058.897742,2.462952814
1067.420862,2.44762651
1075.943981,2.369062885
1084.4671,2.288724592
1092.990219,2.21814697
1101.513338,2.163541357
1110.036458,2.083203064
1118.559577,2.050780796
1127.082696,2.00238652
1135.605815,1.935003301
1144.128935,1.899209164
1152.652054,1.889680108
1161.175173,1.798161409
1169.698292,1.763964474
1178.221411,1.724443535
1186.744531,1.676049259
1195.26765,1.643626991
1203.790769,1.607655388
1212.313888,1.571683785
1220.837008,1.537486849
1229.360127,1.508613917
1237.883246,1.469092978
1246.406365,1.440220046
1254.929484,1.400699107
1263.452604,1.368276839
1270.426065,1.335434478
