Temp,Density
560.1241811,2139.044992
581.7148942,2128.449081
593.3001281,2122.787246
604.4462929,2117.54898
612.7838893,2113.707264
631.2150862,2104.572463
650.172634,2095.403736
671.2369118,2084.916925
682.8222218,2079.187277
694.4072755,2073.686211
701.6042948,2070.051722
720.7372762,2060.886558
739.1685487,2051.684407
760.7594864,2040.888145
772.3444424,2035.474159
783.109783,2030.868317
793.4076938,2025.902392
806.8363822,2019.028611
827.6382006,2007.92043
850.2820855,1996.837595
861.8665484,1991.863146
871.8718618,1987.076761
899.7821573,1973.068132
938.9264165,1953.749873
950.8624712,1948.136616
966.6606752,1940.275344
988.251153,1929.889213
1004.575389,1922.277913
1029.537137,1909.335064
1041.963989,1904.103708
1052.345081,1899.458919
1093.571709,1878.197698
1100.417471,1874.903889
1118.848483,1865.933628
1130.433447,1860.51284
1142.018966,1854.596787
1149.390875,1851.451147
1167.296205,1841.918732
1186.253463,1833.008087
1205.020385,1823.161392
1216.796616,1817.846186
1228.381713,1812.307023
1237.333785,1808.069651
