Temp,Density
737.6284259,2018.437482
758.1618597,2009.8241
774.9345913,2002.893041
783.0827793,1999.514896
799.7552255,1992.56388
817.0544554,1985.117816
825.027144,1981.895257
841.3485914,1975.092077
862.4085235,1966.23004
879.1812551,1959.094375
887.3294431,1955.876078
904.0018893,1948.82334
921.3011192,1941.574908
927.6943129,1939.017322
945.5952552,1931.408502
961.7662745,1924.630898
969.2876788,1921.382764
987.7151193,1913.729187
1004.487851,1906.535975
1012.636039,1903.360305
1029.308485,1896.294004
1046.607715,1889.016508
1053.000909,1886.315058
1070.901851,1878.818133
1087.925296,1872.067171
1095.822771,1868.449251
1112.495217,1861.38295
1129.794447,1854.169394
1137.942635,1850.844532
1154.088583,1844.824613
1175.148515,1835.0898
1191.921246,1828.65747
1197.787942,1826.30236
