Temp,K
753.8581362,1.006232516
761.3053238,1.010000303
768.7525115,1.01376809
776.1996991,1.017594749
783.6468868,1.021362536
791.0940744,1.024953708
798.541262,1.028721495
805.9884497,1.03243041
813.4356373,1.036080453
820.882825,1.03984824
828.3300126,1.043616027
835.7772003,1.047324942
843.2243879,1.050974986
850.6715756,1.054742773
858.1187632,1.058392816
865.5659509,1.062160603
873.0131385,1.06592839
880.4603262,1.069578434
887.9075138,1.073228477
895.3547014,1.076996264
902.8018891,1.080764051
910.2490767,1.084414095
917.6962644,1.08812301
925.143452,1.091949669
932.5906397,1.095658584
940.0378273,1.099602986
947.485015,1.103194158
954.9322026,1.106608715
962.3793903,1.110494245
969.8265779,1.11420316
977.2737656,1.117912075
984.7209532,1.121562119
992.1681409,1.125271034
999.6153285,1.129097693
1007.062516,1.132747736
1014.509704,1.13639778
1021.956891,1.140224439
1029.404079,1.143992226
1036.851267,1.147701141
1044.298454,1.151292313
1051.745642,1.155118971
1059.19283,1.158827887
1066.640017,1.16247793
1074.087205,1.166245717
1081.534393,1.170013504
1088.98158,1.173663548
1096.428768,1.177431334
1103.875956,1.18114025
1111.323143,1.184790293
1118.770331,1.188499209
1126.217518,1.192384739
1133.664706,1.196034782
1141.111894,1.199684826
1148.559081,1.203393741
1156.006269,1.207102656
1163.453457,1.210870443
1170.900644,1.21463823
1178.347832,1.218288274
1185.79502,1.221879446
1193.242207,1.225706104
1198.658344,1.228543719
